"","shname","gid","stid","discname","discid","semnum","sum"
"394","ИС-Б12",278,4832,"Информатика",6,2,90
"395","ИС-Б12",278,4832,"Математический анализ",12,2,80
"396","ИС-Б12",278,4832,"Физика",14,2,78
"397","ИС-Б12",278,4832,"Физика",14,3,65
"398","ИС-Б12",278,4832,"Программирование на языках высокого уровня",21,2,90
"399","ИС-Б12",278,4832,"Дискретная математика",23,2,87
"400","ИС-Б12",278,4832,"Математическая логика и теория алгоритмов",24,3,75
"401","ИС-Б12",278,4832,"Философия",26,3,90
"402","ИС-Б12",278,4832,"Информационные технологии",27,3,81
"403","ИС-Б12",278,4832,"Электротехника и электроника",28,3,69
"404","ИС-Б12",278,4832,"Объектно-ориентированное программирование",45,3,85
"405","ИС-Б12",278,4832,"Архитектура ЭВМ и систем",125,3,90
"406","ИС-Б12",278,4832,"Введение в специальность",171,2,95
"407","ИС-Б12",278,4832,"Учебная практика",339,2,95
"408","ИС-Б12",278,4832,"Математика: математический анализ",1115,3,70
"409","ИС-Б12",278,4833,"Иностранный язык",2,2,90
"410","ИС-Б12",278,4833,"Иностранный язык",2,3,90
"411","ИС-Б12",278,4833,"Физическая культура",3,2,95
"412","ИС-Б12",278,4833,"Физическая культура",3,3,95
"413","ИС-Б12",278,4833,"Культурология",4,2,85
"414","ИС-Б12",278,4833,"Информатика",6,2,87
"415","ИС-Б12",278,4833,"Математический анализ",12,2,90
"416","ИС-Б12",278,4833,"Физика",14,2,75
"417","ИС-Б12",278,4833,"Физика",14,3,75
"418","ИС-Б12",278,4833,"Программирование на языках высокого уровня",21,2,87
"419","ИС-Б12",278,4833,"Дискретная математика",23,2,94
"420","ИС-Б12",278,4833,"Математическая логика и теория алгоритмов",24,3,82
"421","ИС-Б12",278,4833,"Философия",26,3,90
"422","ИС-Б12",278,4833,"Информационные технологии",27,3,91
"423","ИС-Б12",278,4833,"Электротехника и электроника",28,3,85
"424","ИС-Б12",278,4833,"Объектно-ориентированное программирование",45,3,90
"425","ИС-Б12",278,4833,"Архитектура ЭВМ и систем",125,3,90
"426","ИС-Б12",278,4833,"Введение в специальность",171,2,95
"427","ИС-Б12",278,4833,"Учебная практика",339,2,95
"428","ИС-Б12",278,4833,"Математика: математический анализ",1115,3,80
"429","ИС-Б12",278,4834,"Иностранный язык",2,2,100
"430","ИС-Б12",278,4834,"Иностранный язык",2,3,85
"431","ИС-Б12",278,4834,"Физическая культура",3,2,87
"432","ИС-Б12",278,4834,"Физическая культура",3,3,45
"433","ИС-Б12",278,4834,"Культурология",4,2,75
"434","ИС-Б12",278,4834,"Информатика",6,2,60
"435","ИС-Б12",278,4834,"Математический анализ",12,2,66
"436","ИС-Б12",278,4834,"Физика",14,2,85
"437","ИС-Б12",278,4834,"Физика",14,3,35
"438","ИС-Б12",278,4834,"Программирование на языках высокого уровня",21,2,65
"439","ИС-Б12",278,4834,"Дискретная математика",23,2,82
"440","ИС-Б12",278,4834,"Математическая логика и теория алгоритмов",24,3,80
"441","ИС-Б12",278,4834,"Философия",26,3,78
"442","ИС-Б12",278,4834,"Информационные технологии",27,3,65
"443","ИС-Б12",278,4834,"Электротехника и электроника",28,3,60
